Reviewer,Rating,Review
Marites D.,5,"Nothing but wonderful bundt cakes :)My sister surprised me with a beautifully gift wrapped Double Bundtlet Tower of Red Velvet and Snickerdoodle. These bundtlet cakes are super moist, have amazing flavor with perfect cream cheese frosting, and both delightfully yummy! The bakeshop makes 8 inch, 10 inch, and tiered bundt cakes that are available for any special occasion. There's also bundtinis which are smaller bites. I prefer bundtlets because the size and portion is just enough, and it's ridiculously satisfying."
Heidi H.,5,Nothings cuter than mini bundt cakes!!!They taste like heaven & good for any occasion!
Billy L.,5,Love this place. Their bundt cakes are one of a kind out of this world. I wish they are a little less pricey so I can go more often. The service is quick. One weekends they usually have two staff members helping patrons. The service is fast although sometimes they are lines.
Sharon M.,5,"Where do I begin! This place has the best bundt cakes I've ever had. I would say, it's a must visit if you don't have one in your state like Hawaii. It was my second time here and it was not a disappointment. I was able to try a new flavor which was soooo yummy (strawberry).I ordered CHOCOLATE, VANILLA, RED VELVET, LEMON (my favorite), CARROT, STRAWBERRY, and WHITE CHOCOLATE RASPBERRY.They have buntinis (mini), buntlets (great for yourself or to share), and regular cake sizes.All flavors were very delicious. The cake was moist and full of flavor and the frosting was nice and creamy.I would recommend taking some back home as omiyage (gifts for friends and family). They sell the buntinis by the dozen, the bintlets individually or by the dozen. Both can be custom ordered where you can choose your own flavors and you can also make an order online for pick-up. They also sell, insulated bags that can hold up to six buntlets which is perfect for traveling.Ordering the buntinis are great to taste all of the flavors. They also have weekly flavors besides the usual flavors that they offer. The lemon is my ultimate favorite although all are very good!Just be careful when packing them for the plane ride home. Depending on the weather and how hot it is, the frosting may melt down a bit."
Dani B.,3,"The service here is usually really good. However this time we ordered a cake for Mother's Day and we made sure to get extra frosting. What we got does not have extra frosting. I realized once I got to the car so I went back in and brought them my concern and the man upfront took my cake to the back and asked a lady back there if it had extra frosting and I was told the extra frosting is just 4 extra lines. I'm sorry that's so wrong. In the car on the way home I looked up their ""extra frosting"" off their website and I 100% was lied to. I know I didn't pay $3 for 4 extra lines of frosting. I'm very disappointed in the integrity of this store."
Vanessa K.,5,"Jonah and Eli is it Eli were great, thank you for everything! Keep up the great work!"
James D.,5,Can't go wrong with white chocolate raspberry.Ordered online and it was ready for pickup on time.Convenient location. Will be back.
franceska l.,5,"Came here for my free birthday bundtini! I usually have nothing Bundt cakes from gifts or events, so this was the first time I stepped in store. The store is cute, clean, and open! Much bigger than what I thought and I had no idea there were so many flavors! The flavor I chose for my bundtini was the snickdoodle. I've never tried that one before and I loved it! Just like past experiences, the Bundt cake was very moist and flavorful! I love how the icing isn't overbearing either. Now that I know that there's so many options, I'll be coming back to try the others!Customer service was great too! I was greeted from the time I opened the door and in and out in less than 5 minutes after showing my birthday email. Thanks nothing Bundt cakes!"
John C.,5,"The cakes are delicious but today I am writing about the above and beyond friendly customer service I experienced. So friendly and accommodating.  As I waited for my cake to be ready, I overheard several other customers stating the same impression. Sounds like great leadership in this location!"
Elsa R.,5,"Little small store in the corner. It is small, quiet and everything is to go. They have a wide variety of flavors and the Bundt cakes come in different sizes. The flavor of the season is Oreos ! I have tried all do their flavors including a lot of their seasonal flavors and I have not came across one I have not liked. They're all equally moist and full of flavor ! The sizes depends on the amount of people you will be serving cake to or sharing your cake with. They have Bundtini (cupcake) bundtlet (large muffin size) and the two sizes for the cakes. They will also layer them for a larger cake. They have three options for drizzle ( basically the amount of it). The staff is friendly and helpful. I will continue ordering from them as the kids love the cakes !"
Sherri M.,5,I ordered a 2 tear lemon wedding cake.  AMAZING!!!So moist and flavorful.Decorated so lovely!!!Festive for a small wedding I also got a variety of  bundtinis !The store was very organized and helpful.  We used the store on Eastern.I would recommend Nothing Bundt Cakes for any occasion!!!
Wendy F.,5,I don't eat cake but I'll take one from Bundt Cakes any day.My go to for all events. Best and cutest cakes ever!
Ben L.,3,"We had a BOGO free coupon for their mini bundt cakes so we decided to cash in on this deal and get us some mini bundt cakes of deliciousness. This particular location is pretty easy to find as it's located in the same plaza as the Target. Parking isn't an issue. For whatever reason the inside of the shop reminded me of a little girl's tea party. The only thing missing was some stuff animals seated around a small table. There would be Sir Charles Fuzzington (Bear), Ms. Isabella Hornsbee (Rainbow Unicorn), Edward Farsight (Owl), and Penelope Longstep (Giraffe). They table would have those mini bundt cakes and a tea set. Oh and doilies....I'm getting off track.What did we buy and what did we think?Carrot Cake - This wasn't bad. Not overly sweet and you could taste the flavor of carrots but it wasn't overpowering. The cake was tender and the white frosting paired well with the flavor.Chocolate Chocolate Chip - This was alright, but there wasn't alot of chocolate chip in this. The cake was moist and honestly I thought the frosting on this one was a bit too sweet. I ended up eating the cake and leaving most of the white frosting behind.So why did I give it 3 stars? Well my tastes are different from yours and I can't honestly say I'm a fan. I don't see myself going again unless there was another BOGO coupon.https://youtu.be/6QI8162l_qk"
Angela J.,4,"Our favorite cake for birthdays.  Staff is consistently kind and friendly, and with a good variety of cakes on hand accommodates my lack of planning. The cake was moist with just enough frosting,"
Juliana A.,5,"Amazing job with the cakes for the ribbon cutting .I got an update , call the store directly because they use better delivery services . :)"
Sandra L.,5,"What a great review to be able to leave for my 800th review on Yelp!! If you have never been to Nothing Bundt Cakes, run now! It's worth it! They offer a variety of flavors in different sizes. The cake itself is moist and bursting with flavor. They have just enough icing on the top to satisfy. Every time I think I have a favorite flavor picked out, I change my mind. They are all amazing and bursting with flavor. Every location I have been in the employees are all very friendly. Always helpful. The stores are all very clean and well maintained. You can tell Nothing Bundt sets a standard and it's followed. If you are looking for larger cakes for a function, you can order an 8"", 10"" or a tiered cake. You can add decorations to the cake and they can assist you with that. There are options."
Jennifer F.,5,Can never go wrong with NBC. Great tasting Bundts and the place is so organize and clean. They also have a great service. I have been in this location several times and always have good experience. I will be back.
Jessica P.,5,"Happy 'Bundt'Day!! How clever is this quote?? This style cake of cake was my choice for a 1-year old boys birthday celebration. The cake in person was exactly what was featured online: topped with a party hat, a big bow (your choice from 21 colors), two miniature gifts, and signature frosting petals.Pumpkin Spice and everything's nice! So yummy!! This limited flavor is available only from 9/14 to 11/30, so mark your calendars. It's the perfect flavor for this fall weather in Vegas and it was a big hit with all of the adults.The 10"" serves up to 18 people and was a great price at $45! This size worked out very well for our party of 15, with a few slices leftover to enjoy the next day. Pair a slice of the Bundt cake with your favorite cup of coffee and you'll be good to go!Ordering online was EASY! I placed the cake order just 5 days in advance and directly from my mobile phone. I just scrolled and tapped away. This particular location is in the Target shopping center, next to the boba shop. Customer service was fantastic!The 10"" pumpkin spice cake was SO GOOD that I went back after the party and picked up an individual cake called a Bundtlet. So cute, right?? The store, Bundt'ique, offers a really wonderful selection of accessories, too, such as cake stands, coffee mugs, candles, and more!Happy celebrating!!!"
Lola P.,3,"This was my first time coming to this location. It had a nice atmosphere, & I was immediately welcomed. The cakes looked fresh and presentable. Unfortunately, I had to give this location 3 stars due to service I received. I had some questions pertaining to allergens, etc. The employee was not much help , and did not seem like he knew what I was talking about. I think it's important to be able to answer those questions, especially in a food setting. To me that was incredibly unprofessional. I believe his name was Jonah. Thankfully, Eli came and took over my order! He was such a sweetheart. He made sure he answered all my questions and had such a wonderful energy about him!"
Mulltea C.,2,"Yesterday I went in to buy a birthday cake for a friend. Initially the sales person was very friendly and helpful. As I made my decision on what to buy, I had one request that they use a purple bow for the decoration instead of the pink bow that was shown in the photo. The salesperson agreed but also cited many times of being unable to do certain changes due to corporate. I didn't really understand what she was talking about but I paid for my order and waited the time for it to be prepared. When the salesperson brought the order out it was wrapped in plastic and she told me, see, I gave you the purple ribbon. I said thank you, went about my day running errands and when I got home I realized that the decoration that I was given was not the one I had requested, I was given the confetti decoration which is the one I did not want, however the ribbon color was correct. I called to see if I could get it changed but no one answered so I left a message. No one returned my message. I hope the cake is good but I don't really appreciate being lied to and then not communicated with regarding my concerns. It seems corporate only cares that they get their money. Buyers beware. Expensive mistake for me but I will know better next time."
Debbie G.,5,"I love this location for picking up treats for myself, friends, or corporate gifts. They are friendly, prompt and the desserts are always a hit. Sometimes, there are flavors out of stock, so I would plan ahead as much as possible. They have a great punch card plan and offer military discounts as well."
Emma F.,5,Nothing Bundt Cakes always comes through for my kids birthday. Their cakes are very affordable and they are beautiful. Upon walking in I was greeted. It was a little bit busy but the service okay. I honestly forgot to order my daughter's birthday cake so I went online yesterday February 24th 2021 and I put an order in to have it picked up at 12 p.m. on February 25th 2021 and I didn't have any issues it was enough time for them to get it ready! thank you thank you thank you.I am definitely a returning customer can't wait to purchase another decorative cake!
Lisa N.,5,"I love nothing bundt cakes.   It's great for any occasion or just because.  Whether you order online or in person, they always get your order right.  This location specifically is closer to my house and everyone is friendly and helpful.   My favorite flavors are lemon and marble.  They change the flavors every month so I definitely recommend always trying the flavor of the month."
Maggie P.,5,I love ordering from here for occasions as everyone always enjoys the cakes from here. I ordered a couple dozen bundtinis for my boyfriend's birthday and added my own toppers and it turned out great! I delivered these to him at hos workplace and he and his staff really enjoyed these. The workers are very sweet and brought the order out to my car upon pickup!
Karen B.,5,"Best cakes in town. Manager Jori is amazing.  I only use Jori's  Nothing Bundt cakes not only for my birthdays, but for gifts and deliveries to offices that I do business with. Wouldn't change a thing, and I have never been disappointed.  cakes are great and employees are better.  Can't beat the service or the quality, or the management and ownership.They have so many options for cakes, large, medium triple bag of multi flavors, I think there's I can't even count how many sizes she can get and how many flavors. I bake a lot at home, bakery goods, dinners, different nationality foods, but quite frankly you just can't beat nothing Bundt cakes options or quality if you haven't been there you should it'll be worth your while."
Pass T.,5,I don't come here often but when I do they always have very good customer service. Staff is very friendly and helpful. On Friday Nothing Bundt Cakes surprised a lot of parents at Pinecrest Inspirada including myself. They were giving out mini Bundt cakes to parents waiting in their cars in the car loop. Thank you Nothing Bundt Cakes!
Joel P.,5,"Came here the other day for the first time based on a friends recommendation. I've seen this chain around, but was a little apprehensive to try. From my experience lots of places don't bake it correctly and it often comes out dry. Much for the same reason I don't care for turkey. But when it's done right, it's good. Such is the case here. The gals who work here are nice and friendly. They explained that their cakes are nice and moist. I bought an individual snickerdoodle and she wasn't kidding. This was delicious and I'll definitely be back to try other flavors."
Case S.,5,"Got to try this location since it's right next to target and they were offering a free Bundt cake for target team members (very nice of them).Got the red velvet, lemon and snickerdoodle. The lemon could use a little more lemon flavoring. Red velvet was definitely the best one, so good and moist!"
Pat E.,5,"Delicious!  Such a cute ""old fashioned"" style Bakery.  You walk in and they have items for sale for every occasion.   It is defiantly a one stop shopping experience.  Anniversary, Birthday, 1st Birthday, Retirement, Wedding you name it.  Cute cups, wine glasses, napkins they have it all.Most importantly are the baked items, they have personalsize bundt cakes in plastic to go containers which are just delicious and perfect.  You can buy several flavors and not be stuck with a full size one flavor cake.  Nice assortment of flavors red velvet, white chocolate with raspberry, chocolate.....It smells like freshly baked cakes when you walk in which gets you going in the right direction.The counter girl was very sweet and helpful.Stop by if you wanna pick up some delicious cakes for dessert."
Antoine W.,5,You want to impress your family and friends for a small celebratory gathering? You want to give your treat more flair than a sheet cake from the local grocery store? Enter: Nothing Bundt Cakes.Delicious. Moist. Budget-friendly. What more can you ask?My personal favorites: Lemon & Red Velvet.
Vince N.,4,"Thanks to friends, I was introduced to this company that was started in 1997 by Dena Tripp & Debbie Shwetz.  There are now numerous franchised locations nationwide. THE GOODS:Like their name implies, they sell nothing but bundt cakes, available in 8"" and 10"" diameters, double-tiered, cupcake-sized, and a tower gift ""basket"" stacked three high.  Available flavors are classic vanilla, white chocolate raspberry, confetti, carrot, lemon, marble, pecan praline. BUNDT CAKES:I got to try their Red Velvet and Chocolate Chocolate Chip flavors in the ""bundtlet"" size.  Because I'm a cupcake fan, I really liked these as they have a similar texture, flavorful, very moist and perfectly sweetened.  The frosting topping wasn't overly sweet either.  Great job!  I personally wouldn't have chosen two chocolate flavors but they were gifts so I can't be ungrateful, LOL.  OVERALL:I'm really surprised there's no location in Hawaii as bakeries do well here.  I don't have a sweet tooth but will indulge every now and then."
Kara R.,5,My mother loved her birthday cake I picked up for her birthday. It was moist and delicious.
Londa D.,5,"Today was my first visit to Nothing Bundt Cakes and it was well worth the trip Abbey and Eliana had great personalities. I was very pleased with the service and the facility was clean . I will be back, now I know where to come for special occasions."
Elaine P.,5,"The cake was a HUGE hit! When I got there to pick up my order, I realized I ordered the wrong size. They were able to swapped it out on the spot, saved the party!"
Dominique B.,1,"I would legit give them NO stars if I could.It was my niece 10th birthday at her school , and she and her siblings are in the foster care system and I am fighting to get them at some point in the next month. I order online for a dozen minis & pick up was at 9a & I had to be at work by 10a. I had the smallest window to make her day special along side her peers. & for some reason I was waiting inside the bakery for over 26 mins , for a order paid & order days before. &  needless to say I never made it to her school. Thanks for ruining a special moment! & when I asked about management they never got anyone just resumed helping others.You guys are horrible & would never get my money!"
Charlene G.,4,"Who doesn't love cream cheese frosting, frosted on a light and fluffy red velvet cake? Nothing Bundt Cakes are super delicious, fluffy cakes that come in many different flavors (peep my picture). Let's be real, I only buy and eat this stuff because of the cream cheese frosting that is to die for!The best flavor is the red velvet. You can purchase 8 inch and 10 inch cakes for birthdays, graduations, retirement, baby shower, etc parties! For a decorated 8 inch bundt cake, that will run you $32 out the door. I think it's worth every penny because the decor really makes it a meaning gift, plus the cake itself is really good!This location tends to get busy, so how it works is you place your order on the register to the left. From there they build your creation in the back and then when its finished you pick up your sweet creation at the counter to the right. This particular location sells a lot of gifts like wine glasses, special occasions cards (birthday, retirement, etc), make up bags, etc. Just a lot of different items that you can include (check my picture). Customer service wise, this place does a good job in explaining your order and serving it back with a smile. It got busy during the 10 minutes I was there, and the young lady behind the counter handled the line with ease and made sure the orders were taken quickly and out the kitchen on time."
Loya A.,3,I ordered a cake for my sister's birthday over the phone for pick-up the next day.  My niece picked it up and didn't confirm the order.  When we were ready to present it to my sister we unwrapped it and found that it didn't have the birthday package I had requested and paid for.  I was so disappointed. The cake was just plain with a huge hole it it where a beautiful flower should have gone. Luckily my niece had some faux flowers and butterflies on sticks and we were able to decorate the cake beautifully.  I'm only giving it 3 stars because of that experience. Otherwise everyone LOVED the moist and flavorful cake. I called the next day to explain what happen. I was told I would get a refund. The yuh g lady did apologize for what occurred. Once I'm reimbursed for the birthday package I will update my review.
Rachel E.,5,"I actually used these guys as my wedding cake and they were awesome. I always thought getting a fancy wedding cake but then eating it sounded like a waste, so I bought a fancy topper (that you can actually keep), and then got a large bundt cake. Since my wedding was in October we did the seasonal flavor of Pumpkin Spice. We also did assorted bundtinis for those that didn't like pumpkin spice (who are these people though??). When we went in for a tasting they let us try EVERY flavor. I was very impressed with the service. They also let you choose the level of icing you want, but we just went in the middle.Since my wedding we've also ordered bundtinis for work. They're always a hit and you really can't go wrong. They're very accommodating to flavors  and customizations. I would recommend them for a party or wedding any time!"
Catalina J.,5,We ordered a cake for my mother in law and absolutely loved the way it turned out! The flower is so cute! We ordered online for pickup the next day and it was an easy process! The employees were very nice as well. The cake is so moist and the frosting is delicious. We will definitely be returning for other events! Thank you
Melissa B.,5,"Cakes are always delicious, super moist and the frosting is not heavy but perfect and light!"
Ashley B.,5,"I. Am. Obsessed. For the longest time, I have been struggling to find what I think is the best bakery in the Vegas area and although I haven't tried them all yet, as of right now, Nothing Bundt Cakes is the place for me!Nothing Bundt holds true to their name and specializes in bundt cakes. They come in various sizes from minis to large cakes. It might sound boring just having one thing, but when you take one thing and perfect it, it's definitely a recipe for success. Different frosting patterns are available as well as cake toppers and decorations. The selection of flavors is pretty vast and the cakes themselves are incredibly moist. My favorites so far have been raspberry white chocolate and pecan praline, but I've also tried red velvet, marble, and carrot cakes. All are delicious.I also must mention that I am the kind of person who likes to wow, so when a special occasion is going down, I like to get that special someone a sweet treat. I've ordered cakes for work potlucks, birthdays, and just because. The cakes are good for really any occasion and the recipients are always wowed and pleased, so mission accomplished. My family requests their cake all the time now. Even though I live a half hour away, I will continue to go there for the good quality."
Benita C.,4,"Gosh I hate to not give a perfect 5 stars to this company! I have ordered quite a few cakes from them but this was my first time at this location. I usually go to the Sahara location because it's closer to my office but this one is closer to home You can see below what happened on my visit but the store has reached out to me from my emailing them and I feel like their immediate response deserves an upgraded rating.  I am positive that this was an isolated incident and possibly only because of the holiday rush.  Positives: the pick up was set up really well for a busy Christmas Eve day. They had a table outside, one side for ordering and one side for pre orders. We had pre ordered so we walked up, gave our name and in a few minutes our 2 boxes of bundtinis was brought out.  Everyone was wearing masks and seemed to be following safety guidelines (I'm sure tired of Covid!)Anyway the reason for my low rating is that we ordered 1 box if the holiday flavors and one box of regular.  After Christmas Eve dinner we opened the holiday box and there was no chocolate peppermint and my daughter was disappointed so we opened the second box, maybe they just got the labels wrong...nope still no chocolate peppermint. In addition a couple of the cakes looked like they had a bite taken out of them, or maybe the side had been pinched off, like someone wanted a taste.  I do not think that's what happened, but it should not have been sent out looking the way it did. This was not the quality I've come to expect from Nothing Bundt Cakes.  I sent an email to the manager, I will update this review if I get a reply. (Please see my message above regarding contact from the manager)"
Althea G.,5,"DELICIOUS CAKES!  Anything you order will be delicious and presented in a lovely and festive way.  I ordered 24 individual small Bundt cakes for my son's birthday.  Each cake was to include festive toppers.  My order was delivered on time by a nice delivery person.  However, the toppers were not on the cakes I quickly called the store and there response to my complaint shocked me.  They sent an entire new order with the festive toppers delivered to my door within 2 hours.  Of course their cakes are delicious and beautiful.  The customer service is amazing!  I highly recommend this store for any birthday, anniversary or celebratory needs, you will not be disappointed."
Kendra S.,5,"Every time I go here, the has been so helpful & sweet just like their cakes! The flavors of these cakes are made to perfection, no matter which flavor you choose, you will love it! Seriously the best! Also a perfect last minute first idea for ANY occasion and for a GREAT price."
Jay P.,5,"Delicious cake, but very small...I just picked up a cake from Nothing Bundt Cakes. The quality is excellent, but the size is dramatically smaller then before.With the cost of goods going up internationally, I can understand that the profit margin on each cake is shrinking.  So to compensate, it seems that Nothing but Cakes has drastically reduced the size of their cakes to keep up.Please make bigger cakes and charge the customers a few dollars more.  The cakes are totally worth it!"
Bryan D.,1,"First off, I couldn't go in without a mask. What are they Costco or something. Then they tell me I have to call the number to get my already paid for cake. After struggling with the automatic messages the workers were just staring at me through the glass. I finally got fed up and wave at them while watching me struggle. She came out and I told her this was stupid, go aren't doing anything can you just go get me my cake that I already paid for? Why are you making me call a number when I had an appointment to come pick it up? When she brings me my cake, it was wrong. Wrong size, wrong toppings. I had to wait outside in the heat because I was not allowed in because I didn't have a face covering. It's not required. If you are going to open, then open. Stop making this situation worse. Worst experience ever. They all looked that they couldn't care less about it too.Update.... After getting it home I find this. I mean. WTF???????? If you manage this store, expect a call from me tomorrow at 9:00 sharp."
Laura S.,4,Cakes are amazing Customer service not so much But of course we're gonna go back and return because the cakes are unbelievable just wish they would improve on the customer service may be a little bit more training and knowledgeable staff
Brandi B.,5,"One of the best places in Vegas to get your sweet tooth craving...the white chocolate and funfetti are some of my favorites!! Girls are pretty friendly,Lines are usually long The frosting is unreal...You just have to try it !!!"
Dana P.,5,DELICIOUS cakes. Reasonable priced and always prepared for last minute celebrations unlike the awful bakery across the parking lot.  I LOVE Nothing Bundt Cakes.
Kathryn B.,2,"Two strikes and you are out!I ordered a dozen of the mini-bundt cakes in an assortment (5) of flavors, half of which were Carrot Cake.  I ordered these for my husband's 70th birthday, which is a Milestone.I placed the order on August 10, to be picked up on Aug 30.  In other words, they had 20 days' notice.  On August 29th, the day before my husband's milestone birthday, they called to say that they are out of vanilla (vanilla!  Really??) and Carrot Bundt Cakes!How does a bakery run out of vanilla?More importantly, with 20 days notice, how is it that you don't have the Carrot Bundt Cakes I ordered?  Did you sell them to someone else??Carrot Cake is the Birthday Boy's favorite flavor; and half of the cakes were supposed to have been Carrot Cake for him.  The other flavors were for me and guests.  Without Carrot Cake, I had no choice but to cancel the order --   the day before my husband's 70th birthday!  Thanks a whole lot for nothing.  Yet again.Again?  Yes, again.  I had tried to order cakes last December but wasn't able to because, during the holiday season, they suspend the making of traditional flavors in favor of holiday flavors.  Hint:  Traditional flavors are traditional because people like them.  I recently placed another order at Freed's and it was perfect.  From now on, I'll stick to Freed's where I've NEVER had a problem ordering on-line and then picking up exactly what I ordered; ready, paid for, in and out.  I've tried twice in the past eight months to shop at this Nothing Bundt Cakes store only to be unable to do so.  Two strikes and you're out.A few months ago, I placed an on-line order at the NBC store in Huntington Beach, Ca.  The transaction was smooth, flawless; and the cake was delicious.  So my conclusion is that some/many NBC stores are good BUT THIS ONE ON EASTERN IN HENDERSON SUCKS."
Caligirl F.,4,"I am a huge fan of this place.  Their cakes are always sooooo good, tasty, moist, and scrumptious!!!  The red velvet cake is to die for and the chocolate chips in the cake is absolutely amazing!  I get the small cake and could easily eat the whole cake in 2 days but I have been good.  I always get the extra icing cuz what they put on there is usually not enough for my greedy appetite.  I ordered online to pick up after work and the service I receive is always top notch.  I am always greeted the moment I walk in the door.  They have so much little cute unique stuff in there, you can end up spending alot more than you really expected to. I am a forever customer as long as the quality of the cake and customer service remains the same."
Suzzie F.,1,"Usually like this location but today I was waiting in line and it was my turn and a party of 5 or so people came in and the employee with bleach blonde hair completely ignored me and let the party of 5 cut in front of me??? I tried saying ""I was in like before them"" and she ignored me. I walked out. That was so RUDE of everyone inside the store. Super annoyed and disappointed because this is my closest store."
Marina H.,5,"I love the red velvet flavored cakes here.. they are so moist. Their chocolate chocolate chip flavor is second on the list If you sign up for email alerts, they will send you a free bundtlet for your birthday. Who wouldn't want that??"
Justin C.,5,How can you not love this place?!? We have been coming here for years. We stopped in after lunch and tried a sample of the Confetti bundt cake. The samples they give out are perfect because they put just the right amount of cream cheese frosting on the top. We looked in the display case and decided on the white chocolate raspberry and a pecan praline bundlet. Just the right sauce of goodness after any meal! Very pleasant employees and the best bundlets in Vegas.
Susan R.,5,This is a guilty guilty pleasure that must not be overlooked. Bunds Cakes takes these cakes to a whole new level so good that these melt in your mouth. The strawberry with there fantastic frosting is so worth the extra work out in the gym.The store that they have on Eastern is cute and tucked away with tables outside and a tarp where you could enjoy your bundt cake if you could not wait. Their store is so eclectic that it is a must browse.
Marie T.,5,"Just recently, I've made a few stops here to pick up some mini bundts for different occasions. Store is cute with lots of other goodies for purchase like cards, mugs, frames, etc. I've had to wait a bit for my turn to be helped, but I was assured that it would be worth the wait. The employees have been sweet and friendly. Of course the main attraction are the bundts. They offer different flavors like red velvet, chocolate chocolate chip, lemon, carrot and much more. I think I may have stopped in about 4 times to get cakes for others, but had never gotten anything for myself. Finally today, as part of my anniversary gift, my bf gave me the chocolate chocolate chip mini bundt. OMG!! I was missing out on all the times I bought for everyone else!! The cake was super duper moist and soft. And it wasn't overly sweet like I thought it would be. It was just the right amount of sweetness. And I like that it's not covered in frosting because I'm not a fan of frosting. I'm looking forward to trying more flavors in the future."
